    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:02 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        S      0:00 [pool_workqueue_release]
      4 ?        I<     0:00 [kworker/R-rcu_gp]
      5 ?        I<     0:00 [kworker/R-sync_wq]
      6 ?        I<     0:00 [kworker/R-slub_flushwq]
      7 ?        I<     0:00 [kworker/R-netns]
      9 ?        I      0:00 [kworker/0:1-mm_percpu_wq]
     10 ?        I<     0:00 [kworker/0:0H-events_highpri]
     12 ?        I<     0:00 [kworker/R-mm_percpu_wq]
     13 ?        I      0:00 [rcu_tasks_kthread]
     14 ?        I      0:00 [rcu_tasks_rude_kthread]
     15 ?        I      0:00 [rcu_tasks_trace_kthread]
     16 ?        S      0:00 [ksoftirqd/0]
     17 ?        I      0:00 [rcu_preempt]
     18 ?        S      0:00 [rcu_exp_par_gp_kthread_worker/1]
     19 ?        S      0:00 [rcu_exp_gp_kthread_worker]
     20 ?        S      0:00 [migration/0]
     21 ?        S      0:00 [idle_inject/0]
     22 ?        S      0:00 [cpuhp/0]
     23 ?        S      0:00 [cpuhp/1]
     24 ?        S      0:00 [idle_inject/1]
     25 ?        S      0:00 [migration/1]
     26 ?        S      0:00 [ksoftirqd/1]
     28 ?        I<     0:00 [kworker/1:0H-events_highpri]
     29 ?        S      0:00 [cpuhp/2]
     30 ?        S      0:00 [idle_inject/2]
     31 ?        S      0:00 [migration/2]
     32 ?        S      0:00 [ksoftirqd/2]
     34 ?        I<     0:00 [kworker/2:0H-events_highpri]
     35 ?        S      0:00 [cpuhp/3]
     36 ?        S      0:00 [idle_inject/3]
     37 ?        S      0:00 [migration/3]
     38 ?        S      0:00 [ksoftirqd/3]
     40 ?        I<     0:00 [kworker/3:0H-events_highpri]
     41 ?        S      0:00 [cpuhp/4]
     42 ?        S      0:00 [idle_inject/4]
     43 ?        S      0:00 [migration/4]
     44 ?        S      0:00 [ksoftirqd/4]
     45 ?        I      0:00 [kworker/4:0-mm_percpu_wq]
     46 ?        I<     0:00 [kworker/4:0H-events_highpri]
     47 ?        S      0:00 [cpuhp/5]
     48 ?        S      0:00 [idle_inject/5]
     49 ?        S      0:00 [migration/5]
     50 ?        S      0:00 [ksoftirqd/5]
     52 ?        I<     0:00 [kworker/5:0H-events_highpri]
     53 ?        S      0:00 [cpuhp/6]
     54 ?        S      0:00 [idle_inject/6]
     55 ?        S      0:00 [migration/6]
     56 ?        S      0:00 [ksoftirqd/6]
     58 ?        I<     0:00 [kworker/6:0H-events_highpri]
     59 ?        S      0:00 [cpuhp/7]
     60 ?        S      0:00 [idle_inject/7]
     61 ?        S      0:00 [migration/7]
     62 ?        S      0:00 [ksoftirqd/7]
     64 ?        I<     0:00 [kworker/7:0H-events_highpri]
     65 ?        S      0:00 [cpuhp/8]
     66 ?        S      0:00 [idle_inject/8]
     67 ?        S      0:00 [migration/8]
     68 ?        S      0:00 [ksoftirqd/8]
     69 ?        I      0:00 [kworker/8:0-mm_percpu_wq]
     70 ?        I<     0:00 [kworker/8:0H-events_highpri]
     71 ?        S      0:00 [cpuhp/9]
     72 ?        S      0:00 [idle_inject/9]
     73 ?        S      0:00 [migration/9]
     74 ?        S      0:00 [ksoftirqd/9]
     76 ?        I<     0:00 [kworker/9:0H-events_highpri]
     77 ?        S      0:00 [cpuhp/10]
     78 ?        S      0:00 [idle_inject/10]
     79 ?        S      0:00 [migration/10]
     80 ?        S      0:00 [ksoftirqd/10]
     82 ?        I<     0:00 [kworker/10:0H-events_highpri]
     83 ?        S      0:00 [cpuhp/11]
     84 ?        S      0:00 [idle_inject/11]
     85 ?        S      0:00 [migration/11]
     86 ?        S      0:00 [ksoftirqd/11]
     87 ?        I      0:00 [kworker/11:0-cgroup_destroy]
     88 ?        I<     0:00 [kworker/11:0H-events_highpri]
     89 ?        S      0:00 [cpuhp/12]
     90 ?        S      0:00 [idle_inject/12]
     91 ?        S      0:00 [migration/12]
     92 ?        S      0:00 [ksoftirqd/12]
     94 ?        I<     0:00 [kworker/12:0H-events_highpri]
     95 ?        S      0:00 [cpuhp/13]
     96 ?        S      0:00 [idle_inject/13]
     97 ?        S      0:00 [migration/13]
     98 ?        S      0:00 [ksoftirqd/13]
    100 ?        I<     0:00 [kworker/13:0H-events_highpri]
    101 ?        S      0:00 [cpuhp/14]
    102 ?        S      0:00 [idle_inject/14]
    103 ?        S      0:00 [migration/14]
    104 ?        S      0:00 [ksoftirqd/14]
    105 ?        I      0:00 [kworker/14:0-mm_percpu_wq]
    106 ?        I<     0:00 [kworker/14:0H-events_highpri]
    107 ?        S      0:00 [cpuhp/15]
    108 ?        S      0:00 [idle_inject/15]
    109 ?        S      0:00 [migration/15]
